,curr_iteration,loss,viol,best_loss,temp,accept,move_gen,move_type,move_target,move_dur,elapsed,retry
50,50,-3.10390378602,1,,0.0270243844628,False,propose_resample,Resample,,0.0381405000007,6.610135458,0.0
51,51,-3.10390378602,1,,0.0245950948585,False,propose_addition,Addition,,0.0923815419992,6.702791292,0.0
52,52,-3.10390378602,1,,0.0223841801811,False,propose_addition,Addition,,0.627221792001,7.330147417,3.0
53,53,-3.10390378602,1,,0.0203720101615,False,propose_addition,Addition,,0.0804655829998,7.41073825,0.0
54,54,-3.10390378602,1,,0.0185407191447,False,propose_addition,Addition,,0.460238666001,7.871194,0.0
55,55,-3.10390378602,1,,0.0168740474639,False,propose_addition,Addition,,0.183633582998,8.054956042,2.0
56,56,-3.10390378602,1,,0.0153571970749,False,propose_addition,Addition,,0.0689350840003,8.124147958,0.0
57,57,-3.10390378602,1,,0.0139767001664,False,propose_addition,Addition,,0.127330792002,8.251693542,1.0
58,58,-3.10390378602,1,,0.0127202995826,False,propose_addition,Addition,,0.236673166,8.488504625,0.0
59,59,-3.10390378602,1,,0.011576839994,False,propose_addition,Addition,,0.121962708003,8.610641542,1.0
60,60,-3.10390378602,1,,0.0105361688518,False,propose_addition,Addition,,0.129312958998,8.740101708,1.0
61,61,-3.10390378602,1,,0.00958904624493,False,propose_addition,Addition,,0.0697010420008,8.809945875,0.0
62,62,-3.10390378602,1,,0.00872706286138,False,propose_addition,Addition,,0.0763825419999,8.886546167,0.0
63,63,-3.10390378602,1,,0.00794256532309,False,propose_addition,Addition,,0.072505250002,8.959189792,0.0
64,64,-3.10390378602,1,,0.00722858823335,False,propose_translate,TranslateMove,,0.031256708,8.990574833,0.0
65,65,-3.10390378602,1,,0.00657879233243,False,propose_translate,TranslateMove,,0.0350540840009,9.025754917,1.0
66,66,-3.10390378602,1,,0.00598740821252,False,propose_addition,Addition,,0.0749115420003,9.100813417,0.0
67,67,-3.10390378602,1,,0.00544918509232,False,propose_addition,Addition,,0.0724659160005,9.173416833,0.0
68,68,-3.19337996599,1,,0.00495934419641,True,propose_reinit_pose,ReinitPoseMove,,0.0301436249974,9.203700792,0.0
69,69,-3.19337996599,1,,0.00451353632549,False,propose_addition,Addition,,0.0989708750021,9.302782958,0.0
70,70,-3.43680786867,1,,0.00410780324065,True,propose_addition,Addition,,0.658841665998,9.961765292,3.0
71,71,-3.43680786867,1,,0.003738542519,,propose_rotate,,,0.000222083999688,9.9620975,
72,72,-3.89609489709,1,,0.00340247556847,True,propose_addition,Addition,,0.0688248330007,10.030981042,0.0
73,73,-3.89609489709,1,,0.00309661851782,False,propose_reinit_pose,ReinitPoseMove,,0.041512374999,10.072682458,0.0
74,74,-3.89609489709,1,,0.00281825572351,False,propose_addition,Addition,,0.0830861249997,10.155879833,0.0
75,75,-3.89609489709,1,,0.00256491565796,False,propose_addition,Addition,,0.189980042,10.345996833,1.0
76,76,-3.89609490801,1,,0.00233434896541,True,propose_translate,TranslateMove,,0.0297313339979,10.37596375,0.0
77,77,-3.89609490801,1,,0.00212450849033,,propose_rotate,,,0.000264416998107,10.37642525,
78,78,-3.89609490801,1,,0.00193353110112,False,propose_reinit_pose,ReinitPoseMove,,0.0381705839973,10.414692667,0.0
79,79,-3.89609490801,1,,0.00175972114775,False,propose_relation_plane_change,RelationPlaneChange,,0.0460945839986,10.460904,0.0
80,80,-3.89609490801,1,,0.0016015354064,False,propose_reinit_pose,ReinitPoseMove,,0.0356132079978,10.496628333,0.0
81,81,-3.89609490801,1,,0.00145756937754,False,propose_addition,Addition,,0.0767166250007,10.573488583,0.0
82,82,-3.89609490801,1,,0.00132654481558,False,propose_reinit_pose,ReinitPoseMove,,0.0404708329988,10.614150167,0.0
83,83,-3.89609490801,1,,0.00120729837966,False,propose_addition,Addition,,0.171499459,10.785762125,0.0
84,84,-3.89717737617,1,,0.00109877130453,True,propose_translate,TranslateMove,,0.0303321249994,10.816236667,0.0
85,85,-3.89797811716,1,,0.001,True,propose_translate,TranslateMove,,0.0294682079984,10.845826917,0.0
86,86,-3.89797811716,1,,0.001,False,propose_reinit_pose,ReinitPoseMove,,0.0265819999986,10.872538292,0.0
87,87,-3.89801308852,1,,0.001,True,propose_translate,TranslateMove,,0.0293922500023,10.902053625,0.0
88,88,-3.89801308852,1,,0.001,False,propose_reinit_pose,ReinitPoseMove,,0.0368027090008,10.9389795,0.0
89,89,-3.89801308852,1,,0.001,False,propose_resample,Resample,,0.0438929579977,10.982992417,0.0
90,90,-3.89801308852,1,,0.001,,propose_rotate,,,0.000270708002063,10.983383417,
91,91,-3.89801308852,1,,0.001,False,propose_relation_plane_change,RelationPlaneChange,,0.073579750002,11.057022333,0.0
92,92,-3.89807307719,1,,0.001,True,propose_translate,TranslateMove,,0.0294564590004,11.086662,0.0
93,93,-3.89807307719,1,,0.001,False,propose_translate,TranslateMove,,0.0347457090029,11.121530333,0.0
94,94,-3.89807307719,1,,0.001,False,propose_reinit_pose,ReinitPoseMove,,0.0371113330002,11.158782583,0.0
95,95,-3.89807307719,1,,0.001,False,propose_relation_plane_change,RelationPlaneChange,,0.0837804169969,11.24267675,1.0
96,96,-3.89807307719,1,,0.001,False,propose_addition,Addition,,0.0764249999993,11.319216833,0.0
97,97,-3.89807307719,1,,0.001,,propose_rotate,,,0.000285875001282,11.319641833,
98,98,-3.89807307719,1,,0.001,False,propose_relation_plane_change,RelationPlaneChange,,0.0376867920022,11.35738975,0.0
99,99,-3.89807375489,1,,0.001,True,propose_translate,TranslateMove,,0.0292131249989,11.38672125,0.0
100,0,-3.64222657208,3,,3.0,False,propose_addition,Addition,,0.376914791999,0.723010207999,0.0
101,1,-3.64222657208,3,,2.37057108349,,propose_translate,,,0.000302791999275,0.723572375002,
102,2,-2.64222657208,2,,1.87320242063,True,propose_addition,Addition,,0.0663278749998,0.790005416002,0.0
103,3,27.5750825027,1,,1.48018649729,True,propose_addition,Addition,,0.0734091669983,0.86359425,0.0
104,4,20.1130408616,1,,1.16962910289,True,propose_addition,Addition,,0.828711667,1.692521,0.0
105,5,20.1130408616,1,,0.92422964324,False,propose_addition,Addition,,0.126182583001,1.818839541,0.0
106,6,20.1130408616,1,,0.730317355591,False,propose_addition,Addition,,0.185580166999,2.004563625,2.0
107,7,20.1130408616,1,,0.577089734979,False,propose_addition,Addition,,0.12946575,2.134201791,0.0
108,8,20.1130408616,1,,0.456010746108,False,propose_addition,Addition,,0.116147917,2.250514041,0.0
109,9,20.1130408616,1,,0.360335296162,True,propose_addition,Addition,,0.108636124998,2.359334625,0.0
110,10,20.1130408616,1,,0.284733477814,False,propose_addition,Addition,,0.111750333002,2.471207208,0.0
111,11,20.1130408616,1,,0.22499364967,True,propose_relation_plane_change,RelationPlaneChange,,0.0508667499998,2.522207458,0.0
112,12,20.1130408616,1,,0.177787813292,False,propose_addition,Addition,,0.113765041002,2.636085625,0.0
113,13,20.1130408616,1,,0.140486216396,False,propose_relation_plane_change,RelationPlaneChange,,0.0610770830026,2.697298416,0.0
114,14,20.1130408616,1,,0.111010854073,True,propose_addition,Addition,,0.10173975,2.7991585,0.0
115,15,20.1130408616,1,,0.0877197068729,False,propose_addition,Addition,,0.156894250002,2.956167958,1.0
116,16,20.1130408616,1,,0.0693152668552,False,propose_addition,Addition,,0.270273875001,3.226583166,1.0
117,17,20.1130408616,1,,0.0547722557505,False,propose_addition,Addition,,0.115803916997,3.3425385,0.0
118,18,20.1130408616,1,,0.0432805085533,True,propose_addition,Addition,,0.105471250001,3.448150208,0.0
119,19,20.1130408616,1,,0.0341998406851,False,propose_addition,Addition,,0.117229457999,3.565498166,0.0
120,20,20.1130408616,1,,0.0270243844628,False,propose_addition,Addition,,0.112410708,3.678060916,0.0
121,21,20.1130408616,1,,0.0213544081189,False,propose_addition,Addition,,0.118339041997,3.796574166,0.0
122,22,20.1130408616,1,,0.0168740474639,False,propose_addition,Addition,,0.109010415999,3.905724166,0.0
123,23,20.1130408616,1,,0.0133337096598,False,propose_addition,Addition,,0.0970986249995,4.002959208,0.0
124,24,20.1130408616,1,,0.0105361688518,False,propose_addition,Addition,,0.179184375,4.182288625,0.0
125,25,20.1130408616,1,,0.00832557907026,False,propose_addition,Addition,,0.18153075,4.363969958,0.0
126,26,20.1130408616,1,,0.00657879233243,False,propose_relation_plane_change,RelationPlaneChange,,0.0656290829975,4.429755958,0.0
127,27,20.1130408616,1,,0.00519849828919,False,propose_addition,Addition,,0.265848250001,4.695722458,1.0
128,28,20.1130405906,1,,0.00410780324065,True,propose_translate,TranslateMove,,0.0526568749992,4.748515875,0.0
129,29,20.1130405906,1,,0.00324594652632,False,propose_addition,Addition,,0.119946874998,4.868588708,0.0
130,30,20.1130405906,1,,0.00256491565796,False,propose_addition,Addition,,0.113360084,4.982106958,0.0
131,31,20.1130405906,1,,0.00202677163012,False,propose_addition,Addition,,0.167129875001,5.149397791,1.0
132,32,20.1130405906,1,,0.0016015354064,False,propose_addition,Addition,,0.118800583001,5.268387041,0.0
133,33,20.1130405906,1,,0.0012655178412,False,propose_addition,Addition,,0.132876250002,5.401400541,0.0
134,34,20.1130405906,1,,0.001,True,propose_reinit_pose,ReinitPoseMove,,0.0209452919989,5.422508583,0.0
135,35,20.1130405906,1,,0.001,False,propose_addition,Addition,,0.125958416,5.548596291,0.0
136,36,20.1130405906,1,,0.001,False,propose_translate,TranslateMove,,0.060080457999,5.608827666,0.0
137,37,20.1130405906,1,,0.001,True,propose_translate,TranslateMove,,0.0528920830002,5.661845083,0.0
138,38,20.1130405906,1,,0.001,False,propose_addition,Addition,,0.0793494579993,5.741314916,0.0
139,39,20.1130405906,1,,0.001,False,propose_translate,TranslateMove,,0.0620711670017,5.803532041,0.0
140,0,19.3643546801,1,,3.0,True,propose_addition,Addition,,0.425564041001,0.770378958001,0.0
141,1,16.5872876952,0,,2.37057108349,True,propose_addition,Addition,,0.0853032499981,0.855828415999,0.0
142,2,16.5872876952,0,,1.87320242063,False,propose_addition,Addition,,0.0957756669995,0.951715208001,0.0
143,3,16.5872876952,0,,1.48018649729,False,propose_addition,Addition,,0.0963597500013,1.048228416,0.0
144,4,16.6233701324,0,,1.16962910289,True,propose_reinit_pose,ReinitPoseMove,,0.021532458999,1.06996425,0.0
145,5,16.3673510282,0,,0.92422964324,True,propose_addition,Addition,,0.137661375,1.20774175,0.0
146,6,16.4831836397,0,,0.730317355591,True,propose_addition,Addition,,0.0849214160007,1.292768875,0.0
147,7,16.4831836397,0,,0.577089734979,False,propose_addition,Addition,,0.0948732500001,1.387760666,0.0
148,8,16.4831836397,0,,0.456010746108,False,propose_addition,Addition,,0.0952116669978,1.483127833,0.0
149,9,16.4831836397,0,,0.360335296162,False,propose_addition,Addition,,0.0956962910022,1.578983541,0.0
150,10,16.4831836397,0,,0.284733477814,False,propose_addition,Addition,,0.0972091250005,1.676341916,0.0
151,11,16.3932310604,0,,0.22499364967,True,propose_translate,TranslateMove,,0.028051250003,1.704547708,1.0
152,12,16.3932310604,0,,0.177787813292,False,propose_addition,Addition,,0.0975653340029,1.802227416,0.0
153,13,16.3932310604,0,,0.140486216396,False,propose_translate,TranslateMove,,0.0269750420011,1.829351333,0.0
154,14,16.3932310604,0,,0.111010854073,,propose_relation_plane_change,,,0.000497625002026,1.829969,
