,curr_iteration,loss,viol,best_loss,temp,accept,move_gen,move_type,move_target,move_dur,elapsed,retry
0,0,25.629842401737175,3,,3.0,True,propose_addition,Addition,,0.14432749999105,0.15080925001529977,0.0
1,1,25.629842401737175,3,,2.7303224862411257,,propose_rotate,,,0.00022887499653734267,0.15246058400953189,
2,2,27.70482179457773,2,,2.48488695962464,True,propose_addition,Addition,,0.13674316598917358,0.2894103750004433,0.0
3,3,29.519049921288264,1,,2.261514247210166,True,propose_addition,Addition,,0.11063354098587297,0.40025083400541916,0.0
4,4,29.519049921288264,1,,2.058221067370863,False,propose_addition,Addition,,0.12411779200192541,0.5245569590188097,0.0
5,5,29.519049921288264,1,,1.8732024206326259,False,propose_addition,Addition,,0.8286753339925781,1.353544250014238,0.0
6,6,-2.8369038347358693,1,,1.7048155634448552,True,propose_addition,Addition,,0.15558133300510235,1.5094937090179883,0.0
7,7,-2.8369038347358693,1,,1.5515654225891073,False,propose_deletion,Deletion,,0.08011466701282188,1.589816542022163,0.0
8,8,-2.8369038347358693,1,,1.4120913207230847,False,propose_addition,Addition,,0.3069528340129182,1.8969625419995282,2.0
9,9,-2.8369038347358693,1,,1.2851548951987224,False,propose_addition,Addition,,0.25493970900424756,2.152096834004624,1.0
10,10,-2.8360687123956385,1,,1.1696291028879764,True,propose_addition,Addition,,0.12339362502098083,2.2758116250042804,0.0
11,11,-2.8360687123956385,1,,1.064488213392359,False,propose_relation_plane_change,RelationPlaneChange,,0.07841033302247524,2.354390874999808,0.0
12,12,-2.8360687123956385,1,,0.968798701787933,False,propose_deletion,Deletion,,0.07488349999766797,2.429451333999168,0.0
13,13,-2.8360687123956385,1,,0.881710960044268,False,propose_addition,Addition,,0.20703750001848675,2.636665709025692,1.0
14,14,-2.7816940314945864,1,,0.8024517535247051,True,propose_deletion,Deletion,,0.07356762501876801,2.71039508402464,0.0
15,15,-2.7816940314945864,1,,0.7303173555907079,False,propose_addition,Addition,,0.1201077500008978,2.8307870420103427,0.0
16,16,-2.7816940314945864,1,,0.664667299353822,False,propose_addition,Addition,,0.12947295801131986,2.9604397500224877,0.0
17,17,-2.7816940314945864,1,,0.6049186910983005,False,propose_relation_plane_change,RelationPlaneChange,,0.05211158300517127,3.0128114170220215,0.0
18,18,-2.7816940314945864,1,,0.5505410348844131,False,propose_addition,Addition,,0.11640916697797365,3.129484625009354,0.0
19,19,-2.7816940314945864,1,,0.5010515223811244,False,propose_addition,Addition,,0.1966037090169266,3.326321459026076,1.0
20,20,-2.7816940314945864,1,,0.45601074610751074,False,propose_addition,Addition,,0.11706433302606456,3.4435809170245193,0.0
21,21,-2.7816940314945864,1,,0.4150187980216431,False,propose_deletion,Deletion,,0.06964845801121555,3.5134264590160456,0.0
22,22,-2.7816940314945864,1,,0.37771171881708543,False,propose_addition,Addition,,0.11264750000555068,3.6262448340130504,0.0
23,23,-2.7816940314945864,1,,0.3437582664010245,False,propose_addition,Addition,,1.5726083750196267,5.199027875001775,2.0
24,24,-2.7816940314945864,1,,0.3128569748619948,False,propose_addition,Addition,,0.11988749998272397,5.319179709011223,0.0
25,25,-2.7816940314945864,1,,0.28473347781435965,False,propose_addition,Addition,,0.1264895409985911,5.445870916999411,0.0
26,26,-2.7816940314945864,1,,0.2591380723540616,False,propose_addition,Addition,,0.11712141698808409,5.5632790840172675,0.0
27,27,-2.7816940314945864,1,,0.23584350199649134,False,propose_addition,Addition,,0.18040858299355023,5.743870584003162,0.0
28,28,-2.7816940314945864,1,,0.21464293891162473,False,propose_addition,Addition,,1.2843328329909127,7.028485042013926,1.0
29,29,-2.7816940314945864,1,,0.19534814754109642,False,propose_addition,Addition,,0.12736704197595827,7.156041125010233,0.0
30,30,-2.7816940314945864,1,,0.17778781329233484,False,propose_addition,Addition,,0.38579216599464417,7.542178917006822,0.0
31,31,-2.7816940314945864,1,,0.1618060214705669,False,propose_addition,Addition,,0.1697357909870334,7.712126209022244,0.0
32,32,-2.7816940314945864,1,,0.1472608729434344,False,propose_relation_plane_change,RelationPlaneChange,,0.05088712499127723,7.763215292012319,0.0
33,33,-2.7816940314945864,1,,0.13402322424698543,False,propose_addition,Addition,,0.8564816669968423,8.619987500016578,2.0
34,34,-2.7816940314945864,1,,0.12197554094669372,False,propose_addition,Addition,,0.22594604099867865,8.846139792003669,0.0
35,35,-2.7816940314945864,1,,0.11101085407272766,False,propose_addition,Addition,,0.11655083400546573,8.962996792019112,0.0
36,36,-2.7816940314945864,1,,0.10103181036386685,False,propose_addition,Addition,,0.29390566700021736,9.257086249999702,1.0
37,37,-2.7816940314945864,1,,0.09194980788737162,False,propose_addition,Addition,,0.12146170798223466,9.3788539590023,0.0
38,38,-2.7816940314945864,1,,0.08368420936014745,False,propose_addition,Addition,,0.37886995798908174,9.75800904200878,1.0
39,39,-2.7816940314945864,1,,0.0761616261864402,False,propose_addition,Addition,,3.851090583979385,13.609568417014088,1.0
40,40,-2.7816940314945864,1,,0.06931526685517622,False,propose_addition,Addition,,0.19261383300181478,13.803616084012901,0.0
41,41,-2.7816940314945864,1,,0.06308434391149728,False,propose_addition,Addition,,3.7834144170046784,17.58757704202435,4.0
42,42,-2.7816940314945864,1,,0.05741353423710981,False,propose_addition,Addition,,0.44274583301739767,18.030588709021686,2.0
43,43,-2.7816940314945864,1,,0.05225248784738522,False,propose_addition,Addition,,0.32448487501824275,18.355479542020475,1.0
44,44,-2.7816940314945864,1,,0.047555380843919,False,propose_reinit_pose,ReinitPoseMove,,0.06438095899648033,18.4201622090186,0.0
45,45,-2.7816940314945864,1,,0.04328050855330417,False,propose_addition,Addition,,0.17541329201776534,18.595810042024823,0.0
46,46,-2.7816940314945864,1,,0.039389915239679246,False,propose_addition,Addition,,0.16620204100036062,18.762313959014136,0.0
47,47,-2.7816940314945864,1,,0.03584905710334274,False,propose_resample,Resample,,0.08612962500774302,18.84872862501652,0.0
48,48,-2.7816940314945864,1,,0.03262649557326629,False,propose_addition,Addition,,0.25328637499478646,19.102369833999546,1.0
49,49,-2.7816940314945864,1,,0.029693618170311825,False,propose_addition,Addition,,0.17504741600714624,19.278008959023282,0.0
50,50,-2.7816940314945864,1,,0.02702438446275348,False,propose_reinit_pose,ReinitPoseMove,,0.06424741700175218,19.342746625014115,0.0
51,51,-2.7816940314945864,1,,0.024595094858493705,False,propose_addition,Addition,,0.29018770798575133,19.633262000017567,1.0
52,52,-2.7816940314945864,1,,0.022384180181126288,False,propose_addition,Addition,,0.32120120801846497,19.954767125018407,1.0
53,53,-2.7816940314945864,1,,0.020372010161534018,False,propose_relation_plane_change,RelationPlaneChange,,0.07294620800530538,20.02814520901302,0.0
54,54,-2.7816940314945864,1,,0.018540719144656347,False,propose_addition,Addition,,0.24457545898621902,20.27311925002141,0.0
55,55,-2.7816940314945864,1,,0.016874047463912183,False,propose_addition,Addition,,0.439023165992694,20.71260904200608,2.0
56,56,-2.7816940314945864,1,,0.015357197074873156,False,propose_addition,Addition,,0.3839145000092685,21.096838375000516,0.0
57,57,-2.7816940314945864,1,,0.013976700166387537,False,propose_addition,Addition,,0.1660643750219606,21.263225209026132,0.0
58,58,-2.7816940314945864,1,,0.012720299582579324,False,propose_addition,Addition,,0.2545890409965068,21.518175625009462,1.0
59,59,-2.7816940314945864,1,,0.011576839994013311,False,propose_addition,Addition,,0.6696803749946412,22.18814670899883,1.0
60,60,-2.7816940314945864,1,,0.010536168851756707,,propose_rotate,,,0.0005154999962542206,22.189127417019336,
61,61,-2.7816940314945864,1,,0.009589046244928224,False,propose_addition,Addition,,0.16805624999688007,22.357467125024414,0.0
62,62,-2.7816940314945864,1,,0.008727062861377853,False,propose_addition,Addition,,1.9996711669955403,24.35746675002156,4.0
63,63,-2.7816940314945864,1,,0.00794256532308659,False,propose_addition,Addition,,0.14120570899103768,24.499008209008025,0.0
64,64,-2.7816940314945864,1,,0.00722858823335411,False,propose_addition,Addition,,0.1463182909938041,24.645626417011954,0.0
65,65,-2.7816940314945864,1,,0.006578792332434912,False,propose_addition,Addition,,0.13720075000310317,24.783129875024315,0.0
66,66,-2.7816940314945864,1,,0.0059874082125192475,False,propose_addition,Addition,,0.15793187500094064,24.941498166997917,0.0
67,67,-2.7816940314945864,1,,0.005449185092315362,False,propose_addition,Addition,,0.3020049160113558,25.24381908401847,1.0
68,68,-2.7816940314945864,1,,0.004959344196412852,False,propose_addition,Addition,,0.19721270899754018,25.441430834005587,0.0
69,69,-2.7816940314945864,1,,0.004513536325491811,False,propose_reinit_pose,ReinitPoseMove,,0.07460500000161119,25.516391917015426,0.0
70,70,-2.7816940314945864,1,,0.004107803240652146,,propose_rotate,,,0.00047324999468401074,25.517123958998127,
71,71,-2.7816940314945864,1,,0.003738542519002239,,propose_rotate,,,0.0003834580129478127,25.51764208401437,
72,72,-2.7816940314945864,1,,0.0034024755684667844,False,propose_addition,Addition,,0.174476207990665,25.692230792017654,0.0
73,73,-2.7968278908312154,1,,0.0030966185178236396,True,propose_translate,TranslateMove,,0.055478875001426786,25.74812008399749,0.0
74,74,-2.7968278908312154,1,,0.002818255723508183,,propose_rotate,,,0.0003708750009536743,25.74875866700313,
75,75,-2.7968278908312154,1,,0.0025649156579573814,False,propose_addition,Addition,,0.13393741598702036,25.88281058400753,0.0
76,76,-2.7968278908312154,1,,0.0023343489654109963,False,propose_addition,Addition,,0.1560496250167489,26.039265542000066,0.0
77,77,-2.7968278908312154,1,,0.0021245084903317836,False,propose_addition,Addition,,0.17293270799564198,26.212654041999485,0.0
78,78,-2.7968278908312154,1,,0.0019335311011210183,False,propose_addition,Addition,,0.377301707980223,26.590334000007715,0.0
79,79,-3.111305345909118,1,,0.0017597211477457602,True,propose_reinit_pose,ReinitPoseMove,,0.08277262499905191,26.673845875018742,0.0
80,80,-3.111305345909118,1,,0.0016015354064014302,False,propose_addition,Addition,,0.13160837499890476,26.805816917010816,0.0
81,81,-3.111305345909118,1,,0.0014575693775363816,,propose_rotate,,,0.0003654169850051403,26.806496792007238,
82,82,-3.111305345909118,1,,0.0013265448155813544,False,propose_addition,Addition,,0.6091746250167489,27.415781917021377,1.0
83,83,-3.11558658209316,1,,0.0012072983796627861,True,propose_translate,TranslateMove,,0.056549625005573034,27.47267029201612,0.0
84,84,-3.11558658209316,1,,0.0010987713045319267,False,propose_relation_plane_change,RelationPlaneChange,,0.09087604100932367,27.563968917005695,0.0
85,85,-3.11558658209316,1,,0.0010000000000000052,False,propose_reinit_pose,ReinitPoseMove,,0.06603874999564141,27.630263750004815,0.0
86,86,-3.11558658209316,1,,0.001,False,propose_addition,Addition,,0.1373087500105612,27.767945708998013,0.0
87,87,-3.11558658209316,1,,0.001,False,propose_translate,TranslateMove,,0.05278754199389368,27.821024667005986,0.0
88,88,-3.11558658209316,1,,0.001,,propose_rotate,,,0.00036366700078360736,27.82158979200176,
89,89,-3.13550130961743,1,,0.001,True,propose_translate,TranslateMove,,0.04411204200005159,27.865808417001972,0.0
90,90,-3.13550130961743,1,,0.001,False,propose_translate,TranslateMove,,0.05712812501587905,27.92315950000193,0.0
91,91,-3.13550130961743,1,,0.001,False,propose_reinit_pose,ReinitPoseMove,,0.06359804098610766,27.986991000012495,0.0
92,92,-3.13550130961743,1,,0.001,False,propose_reinit_pose,ReinitPoseMove,,0.0948185829911381,28.082039750006516,0.0
93,93,-3.13550130961743,1,,0.001,False,propose_reinit_pose,ReinitPoseMove,,0.0757052919943817,28.157994667009916,0.0
94,94,-3.13550130961743,1,,0.001,False,propose_reinit_pose,ReinitPoseMove,,0.06314570902031846,28.221570542023983,0.0
95,95,-3.13550130961743,1,,0.001,False,propose_translate,TranslateMove,,0.0430184580036439,28.264803792000748,0.0
96,96,-3.13550130961743,1,,0.001,False,propose_translate,TranslateMove,,0.0569614999985788,28.322014625009615,0.0
97,97,-3.13550130961743,1,,0.001,,propose_rotate,,,0.0003619579947553575,28.32258800001,
98,98,-3.13550130961743,1,,0.001,False,propose_resample,Resample,,0.08908966698800214,28.41178537500673,0.0
99,99,-3.13550130961743,1,,0.001,,propose_rotate,,,0.0005369999853428453,28.41270750001422,
100,0,7.615574255991602,2,,3.0,True,propose_addition,Addition,,0.5961358750064392,1.0677375420054886,1.0
101,1,8.615574255991602,1,,2.3705710834939913,True,propose_addition,Addition,,0.14641262500663288,1.2143907500139903,0.0
102,2,8.615574255991602,1,,1.8732024206326257,True,propose_addition,Addition,,0.10953225000412203,1.3241218340117484,0.0
103,3,8.615574255991602,1,,1.4801864972942167,False,propose_addition,Addition,,0.6679130829870701,1.9922329589899164,0.0
104,4,8.615574255991602,1,,1.1696291028879757,True,propose_addition,Addition,,0.15014108299510553,2.142704792000586,0.0
105,5,8.615574255991602,1,,0.9242296432397513,False,propose_deletion,Deletion,,0.5922677500057034,2.7352820000087377,0.0
106,6,8.615574255991602,1,,0.7303173555907074,False,propose_addition,Addition,,0.6698664579889737,3.4053396669914946,2.0
107,7,8.615574255991602,1,,0.5770897349790434,False,propose_addition,Addition,,0.16056112499791197,3.566170042002341,0.0
108,8,8.615574255991602,1,,0.45601074610751036,False,propose_addition,Addition,,0.17014745800406672,3.7366067499970086,0.0
109,9,8.615574255991602,1,,0.3603352961616614,False,propose_addition,Addition,,0.4357823749887757,4.1726706250046846,0.0
110,10,8.615574309899273,1,,0.2847334778143593,True,propose_relation_plane_change,RelationPlaneChange,,0.07050650002202019,4.243515792011749,0.0
111,11,8.615574309899273,1,,0.22499364966979934,True,propose_addition,Addition,,0.11959762498736382,4.3633614589925855,0.0
112,12,8.615574309899273,1,,0.17778781329233462,True,propose_relation_plane_change,RelationPlaneChange,,0.033743209001841024,4.397328041988658,0.0
113,13,8.615574309899273,1,,0.14048621639614567,False,propose_addition,Addition,,0.15120479199686088,4.548744583997177,0.0
114,14,4.6856436184413575,1,,0.11101085407272748,True,propose_addition,Addition,,0.3244176660082303,4.873505583993392,0.0
115,15,4.6856436184413575,1,,0.08771970687292631,False,propose_addition,Addition,,0.4080787500133738,5.2818482920120005,0.0
116,16,4.6856436184413575,1,,0.06931526685517608,False,propose_addition,Addition,,0.2804124999966007,5.562605916988105,0.0
117,17,4.6856436184413575,1,,0.05477225575051664,False,propose_addition,Addition,,0.26004066699533723,5.822969125001691,0.0
118,18,4.6856436184413575,1,,0.04328050855330408,False,propose_addition,Addition,,0.24549291699077003,6.0688143339939415,0.0
119,19,4.6856436184413575,1,,0.03419984068512567,False,propose_addition,Addition,,0.4675562920165248,6.5367064170131925,3.0
120,20,4.6856436184413575,1,,0.027024384462753417,False,propose_addition,Addition,,0.6007025000290014,7.137730666989228,1.0
121,21,4.6856436184413575,1,,0.02135440811887585,False,propose_addition,Addition,,0.4584516250179149,7.596653874992626,1.0
122,22,4.6856436184413575,1,,0.016874047463912138,False,propose_addition,Addition,,0.27980595800909214,7.876825167011702,0.0
123,23,4.6856436184413575,1,,0.013333709659818409,False,propose_addition,Addition,,0.576433582988102,8.453681874991162,1.0
124,24,4.6856436184413575,1,,0.010536168851756676,False,propose_relation_plane_change,RelationPlaneChange,,0.1931200829858426,8.647145583992824,1.0
125,25,4.172186513929139,1,,0.008325579070261487,True,propose_translate,TranslateMove,,0.14573870800086297,8.793183333997149,0.0
126,26,4.172186513929139,1,,0.006578792332434891,False,propose_addition,Addition,,0.4020059579925146,9.195541875000345,0.0
127,27,4.172186513929139,1,,0.005198498289194047,False,propose_addition,Addition,,0.6538178339833394,9.84996904199943,1.0
128,28,4.172186513929139,1,,0.004107803240652131,False,propose_addition,Addition,,0.500695499998983,10.351001333998283,0.0
129,29,4.172186513929139,1,,0.0032459465263242836,False,propose_addition,Addition,,0.6313103330030572,10.982739375001984,0.0
